"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Game/StarterContent/Materials/M_AssetPlatform.M_AssetPlatform","0","28","28","1","59.347359","0","0"
"/Game/LizardWarrior/Materials/M_Ground.M_Ground","0","71","74","1","122.775108","0","0"
"/Game/Mannequin/Character/Materials/M_Male_Body.M_Male_Body","0","224","242","2","297.426392","0","0"
"/Game/StarterContent/Props/Materials/M_Shelf.M_Shelf","0","28","28","1","66.642883","0","0"
"/Game/StarterContent/Props/Materials/M_MaterialSphere_Plain.M_MaterialSphere_Plain","0","16","16","1","32.027798","0","0"
"/Game/StarterContent/Props/Materials/M_MaterialSphere.M_MaterialSphere","0","16","16","1","34.141888","0","0"
"/Game/StarterContent/Particles/Materials/M_radial_ramp.M_radial_ramp","0","35","35","1","53.077007","0","0"
"/Game/StarterContent/Particles/Materials/m_flare_01.m_flare_01","0","35","35","1","54.521938","0","0"
"/Game/StarterContent/Particles/Materials/M_explosion_subUV.M_explosion_subUV","0","27","27","1","42.944721","0","0"
"/Game/StarterContent/Materials/M_ColorGrid_LowSpec.M_ColorGrid_LowSpec","0","28","28","1","67.349030","0","0"
"/Game/Luos8Elements/Materials/Lightning/M_4E_LightningOrb_01.M_4E_LightningOrb_01","0","7","7","1","12.010700","0","0"
"/Game/Luos8Elements/Materials/Lightning/M_4E_LightningGas_01.M_4E_LightningGas_01","0","27","27","1","34.579132","0","0"
"/Game/Luos8Elements/Materials/Lightning/M_GenericLightning_01.M_GenericLightning_01","0","19","19","1","25.516954","0","0"
"/Game/Luos8Elements/Materials/Lightning/M_4E_Lightning_Bolt_01.M_4E_Lightning_Bolt_01","0","129","129","3","164.691315","0","0"
"/Game/Luos8Elements/Materials/Light/M_4E_Basic_Star_01.M_4E_Basic_Star_01","0","35","35","1","42.855339","0","0"
"/Game/Luos8Elements/Materials/Lightning/M_4E_Lightning_Panner_01.M_4E_Lightning_Panner_01","0","43","43","1","50.946430","0","0"
"/Game/Luos8Elements/Materials/Lightning/M_4E_LightningRing_01.M_4E_LightningRing_01","0","35","35","1","44.863453","0","0"
"/Game/Luos8Elements/Materials/Lightning/M_4E_LightningForce_01.M_4E_LightningForce_01","0","27","27","1","34.866226","0","0"
"/Game/Luos8Elements/Materials/Light/M_4E_ImpactFX_01.M_4E_ImpactFX_01","0","43","43","1","39.764359","0","0"
"/Game/Luos8Elements/Materials/Light/M_4E_SpiralLight_01.M_4E_SpiralLight_01","0","23","23","1","25.683830","0","0"
"/Game/Luos8Elements/Materials/Light/M_4E_Lightcylinder_01.M_4E_Lightcylinder_01","0","27","27","1","33.483936","0","0"
"/Game/Luos8Elements/Materials/Light/M_4E_LightCircle_01.M_4E_LightCircle_01","0","23","23","1","28.783653","0","0"
"/Game/Luos8Elements/Materials/Light/M_4E_LightCastRing_01.M_4E_LightCastRing_01","0","23","23","1","31.387463","0","0"
"/Game/DreamscapeSeries/SharedResources/Materials/Utility/M_Sharpen.M_Sharpen","0","7","7","1","13.281082","0","0"
"/Game/DreamscapeSeries/SharedResources/Materials/Utility/M_Grid_Base.M_Grid_Base","0","16","16","1","38.243538","0","0"
"/Game/DreamscapeSeries/SharedResources/Materials/Terrain/M_Terrain_Mesh.M_Terrain_Mesh","0","55","55","1","140.613602","0","0"
"/Game/DreamscapeSeries/SharedResources/Materials/Foliage/M_Grass_Master.M_Grass_Master","0","105","109","1","202.943176","0","0"
"/Game/DreamscapeSeries/SharedResources/Materials/Foliage/M_Flower_Master.M_Flower_Master","0","105","109","1","197.723343","0","0"
"/Game/DreamscapeSeries/SharedResources/Materials/Terrain/M_Terrain_Master.M_Terrain_Master","0","55","55","1","117.561432","0","0"
"/Game/DreamscapeSeries/SharedResources/Materials/Terrain/M_Sky_Panning_Clouds_Stylized.M_Sky_Panning_Clouds_Stylized","0","5","5","1","10.198132","0","0"
"/Game/DreamscapeSeries/SharedResources/Materials/Terrain/M_Rainbow.M_Rainbow","0","13","13","1","19.161753","0","0"
"/Game/DreamscapeSeries/SharedResources/Materials/Stones/M_Tiling_Rock_Master.M_Tiling_Rock_Master","0","111","117","1","136.909531","0","0"
"/Game/DreamscapeSeries/SharedResources/Materials/Impostors/M_Impostor_SimpleOffset_Custom.M_Impostor_SimpleOffset_Custom","0","105","109","1","759.443237","0","0"
"/Game/DreamscapeSeries/SharedResources/Materials/Effects/M_Leaves_01.M_Leaves_01","0","99","105","1","117.722397","0","0"
"/Game/DreamscapeSeries/SharedResources/Materials/Effects/M_Leaf_Master.M_Leaf_Master","0","99","105","1","95.319000","0","0"
"/Game/DreamscapeSeries/SharedResources/Mannequin/Character/Materials/M_UE4Man_Body.M_UE4Man_Body","0","224","242","2","239.302841","0","0"
"/Game/DreamscapeSeries/SharedResources/Materials/Effects/M_Fog_Cloud.M_Fog_Cloud","0","136","136","1","277.248840","0","0"
"/Game/DreamscapeSeries/DreamscapeMeadows/Materials/Impostors/M_Impostor_Master.M_Impostor_Master","0","105","109","1","886.353088","0","0"
"/Game/DreamscapeSeries/SharedResources/Materials/Effects/M_CloudCard.M_CloudCard","0","67","67","1","93.607361","0","0"
"/Game/DreamscapeSeries/SharedResources/Materials/Effects/M_Cloud_BG.M_Cloud_BG","0","41","42","1","80.362801","0","0"
"/Game/DreamscapeSeries/SharedResources/Materials/Effects/M_Cloud_BG_Moving.M_Cloud_BG_Moving","0","41","42","1","84.430084","0","0"
"/Game/DreamscapeSeries/SharedResources/Materials/Effects/M_Dust_Particle.M_Dust_Particle","0","88","88","1","181.148849","0","0"
"/Game/DreamscapeSeries/SharedResources/Materials/Effects/M_Fog.M_Fog","0","45","45","1","65.083214","0","0"
"/Game/DreamscapeSeries/SharedResources/Materials/Effects/M_Fog_01.M_Fog_01","0","88","88","1","194.791916","0","0"
